date,mean,min,max
3/1/2020,64.35294118,20,102
3/2/2020,96.76470588,76,103
3/3/2020,98.07843137,90,101
3/4/2020,98.50980392,92,100
3/5/2020,104.372549,99,109
3/6/2020,114.9411765,102,128
3/7/2020,92,58,111
3/8/2020,66.11764706,20,123
3/9/2020,94.88235294,74,104
3/10/2020,98.01960784,88,105
3/11/2020,99.94117647,89,111
3/12/2020,100.4313725,87,111
3/13/2020,101.0980392,82,123
3/14/2020,63.25490196,39,91
3/15/2020,39.33333333,13,67
3/16/2020,72.09803922,35,90
3/17/2020,58.33333333,12,85
3/18/2020,49.96078431,9,84
3/19/2020,44.74509804,5,75
3/20/2020,54.03921569,11,80
3/21/2020,20.43137255,0,49
3/22/2020,8.058823529,0,27
3/23/2020,29.11764706,0,65
3/24/2020,23.92156863,0,62
3/25/2020,25.52941176,0,61
3/26/2020,25.41176471,0,63
3/27/2020,29.25490196,1,66
3/28/2020,10.76470588,0,45
3/29/2020,5.921568627,0,34
3/30/2020,18,0,54
3/31/2020,18.56862745,0,54
4/1/2020,19.90196078,0,56
4/2/2020,19.56862745,0,58
4/3/2020,23.37254902,0,62
4/4/2020,9.647058824,0,40
4/5/2020,3.607843137,0,23
4/6/2020,18.17647059,0,49
4/7/2020,20.49019608,0,54
4/8/2020,20.21568627,0,60
4/9/2020,19.66666667,0,56
4/10/2020,27.7254902,0,69
4/11/2020,13.82352941,0,44
4/12/2020,0.215686275,0,5
4/13/2020,15.39215686,0,53
4/14/2020,19.56862745,0,52
4/15/2020,22.68627451,0,61
4/16/2020,23.80392157,0,64
4/17/2020,31.58823529,0,68
4/18/2020,16.78431373,0,56
4/19/2020,4.117647059,0,19
4/21/2020,29.88235294,0,68
4/22/2020,32.56862745,1,79
4/23/2020,31.62745098,0,67
4/24/2020,35,0,71
4/25/2020,22.80392157,0,59
4/26/2020,9.509803922,0,40
4/27/2020,29.84313725,0,63
4/28/2020,33.58823529,0,66
4/29/2020,33.37254902,1,73
4/30/2020,41.1372549,0,87
5/1/2020,58.23529412,1,102
5/2/2020,43.98039216,3,83
5/3/2020,29.37254902,0,66
5/4/2020,37.7254902,0,76
5/5/2020,42.78431373,0,82
5/6/2020,52.8627451,0,99
5/7/2020,42.05882353,0,87
5/8/2020,50.11764706,0,95
5/9/2020,37.49019608,0,79
5/10/2020,28.90196078,0,67
5/11/2020,31.60784314,0,76
5/12/2020,43.37254902,0,87
5/13/2020,35.66666667,0,78
5/14/2020,37.35294118,0,80
5/15/2020,55.29411765,4,107
5/16/2020,48.49019608,3,91
5/17/2020,30.29411765,1,79
5/18/2020,47.78431373,1,92
5/19/2020,45.54901961,1,91
5/20/2020,61.03921569,1,104
5/21/2020,66.7254902,4,113
5/22/2020,78.60784314,4,141
5/23/2020,53.84313725,4,98
5/24/2020,42.41176471,1,78
5/25/2020,35.33333333,2,84
5/26/2020,62.21568627,10,104
5/27/2020,67.29411765,5,109
5/28/2020,64.05882353,1,115
5/30/2020,42.94117647,3,83
5/31/2020,36.43137255,1,101
6/1/2020,68.07843137,15,114
6/2/2020,61.82352941,7,110
6/3/2020,75.19607843,19,120
6/4/2020,73.05882353,7,119
6/5/2020,82.76470588,22,150
6/6/2020,67.88235294,26,109
6/7/2020,44.92156863,7,91
6/8/2020,73.88235294,16,116
6/9/2020,74.19607843,15,114
6/10/2020,73.50980392,18,127
6/11/2020,78.09803922,14,132
6/12/2020,76.88235294,26,133
6/13/2020,72.80392157,31,130
6/14/2020,45.19607843,9,107
6/15/2020,62,6,111
6/16/2020,68.60784314,6,111
6/17/2020,80.03921569,9,127
6/18/2020,82.17647059,11,133
6/19/2020,87.94117647,30,145
6/20/2020,70.19607843,15,129
6/21/2020,57.43137255,8,127
6/22/2020,64.56862745,8,112
6/23/2020,78.80392157,20,130
6/24/2020,73.62745098,17,126
6/25/2020,86.03921569,26,138
6/26/2020,89.56862745,32,155
6/27/2020,76.96078431,37,150
6/28/2020,55.1372549,15,132
6/29/2020,67.23529412,17,128
6/30/2020,80.78431373,38,134
7/1/2020,84.41176471,42,141
7/2/2020,91.33333333,44,156
7/3/2020,87.07843137,49,156
7/4/2020,62.05882353,25,126
7/5/2020,55.68627451,15,129
7/6/2020,77.01960784,28,135
7/7/2020,80.54901961,24,129
7/8/2020,84.37254902,23,137
7/9/2020,85.78431373,43,146
7/10/2020,94.7254902,39,163
7/11/2020,80.43137255,37,175
7/12/2020,72.58823529,18,332
7/13/2020,79.78431373,37,123
7/14/2020,94.78431373,39,455
7/15/2020,83.56862745,36,127
7/16/2020,82.90196078,35,138
7/17/2020,105.1764706,28,925
7/18/2020,70.21568627,6,131
7/19/2020,51.21568627,17,111
7/20/2020,69.19607843,14,121
7/21/2020,70.84313725,13,124
7/22/2020,72.33333333,11,125
7/23/2020,70.2745098,16,124
7/24/2020,85.78431373,33,153
7/25/2020,62.66666667,24,119
7/26/2020,46.19607843,0,114
7/27/2020,66.76470588,16,121
