date,number,min,max
3/31/2020,18.56862745,0,54
4/30/2020,41.1372549,0,87
5/31/2020,36.43137255,1,101
6/30/2020,80.78431373,38,134
7/1/2020,84.41176471,42,141
7/2/2020,91.33333333,44,156
7/3/2020,87.07843137,49,156
7/4/2020,62.05882353,25,126
7/5/2020,55.68627451,15,129
7/6/2020,77.01960784,28,135
7/7/2020,80.54901961,24,129
7/8/2020,84.37254902,23,137
7/9/2020,85.78431373,43,146
7/10/2020,94.7254902,39,163
7/11/2020,80.43137255,37,175
7/12/2020,72.58823529,18,332
7/13/2020,79.78431373,37,123
7/14/2020,94.78431373,39,455
7/15/2020,83.56862745,36,127
7/16/2020,82.90196078,35,138
7/17/2020,105.1764706,28,925
7/18/2020,70.21568627,6,131
7/19/2020,51.21568627,17,111
7/20/2020,69.19607843,14,121
7/21/2020,70.84313725,13,124
7/22/2020,72.33333333,11,125
7/23/2020,70.2745098,16,124
7/24/2020,85.78431373,33,153
7/25/2020,62.66666667,24,119
7/26/2020,46.19607843,0,114
7/27/2020,66.76470588,16,121
